key.ref_cf[10604],transition,username,data
001/2014,Entregue,alexandre.junio,11/17/2014
002/2014,Entregue,alexandre.junio,11/7/2014
003/2014,Entregue,alexandre.junio,10/29/2014
004/2014,Entregue,alexandre.junio,10/31/2014
005/2014,Entregue,alexandre.junio,11/19/2014
006/2014,Entregue,alexandre.junio,12/4/2014
007/2014,Entregue,alexandre.junio,12/3/2014
008/2014,Entregue,alexandre.junio,11/28/2014
009/2014,Entregue,alexandre.junio,11/17/2014
010/2014,Entregue,alexandre.junio,11/8/2014
011/2014,Entregue,alexandre.junio,12/8/2014
012/2014,Entregue,alexandre.junio,12/10/2014
013/2014,Entregue,alexandre.junio,12/10/2014
