key.ref_cf[10600],transition,username,update.worklog,update.comment,field.assignee.name,worklog.startdate
91-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/27/2014
91-2014,CLOSED,sergio.correia.ms,,Ok.,,11/27/2014
92-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/24/2014
92-2014,RESOLVED,Desenvolvedor/Tester SOA,40,Atividade finalizada.,,11/28/2014
92-2014,LANCAR_HORAS,alexandre.junio,4,Demanda disponível para homologação.,,11/28/2014
92-2014,CLOSED,sergio.correia.ms,,Demanda verificada.,,11/28/2014
93-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Especialista em Segurança SOA,11/28/2014
93-2014,RESOLVED,Especialista em Segurança SOA,56,Atividade concluída.,,12/8/2014
93-2014,LANCAR_HORAS,alexandre.junio,6,Demanda disponível para homologação.,,12/8/2014
93-2014,CLOSED,julioc.araujo.ms,,Tudo certo.,,12/8/2014
