key.ref_cf[10600],transition,username,update.worklog,update.comment,field.assignee.name,worklog.startdate
46-2014,RESOLVED,Desenvolvedor/Tester SOA,8,Atividade concluída.,,10/17/2014
46-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,10/17/2014
46-2014,CLOSED,julioc.araujo.ms,,Tudo certo.,,10/17/2014
47-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,10/21/2014
47-2014,LANCAR_HORAS,Desenvolvedor SOA 1,40,Lançando horas da atividade.,,10/27/2014
47-2014,RESOLVED,Desenvolvedor SOA 2,40,Demanda concluída.,,10/27/2014
47-2014,LANCAR_HORAS,alexandre.junio,8,Demanda disponível para homologação.,,10/27/2014
47-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,10/27/2014
48-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/1/2014
48-2014,RESOLVED,Desenvolvedor/Tester SOA,8,Atividade finalizada.,,11/2/2014
48-2014,LANCAR_HORAS,alexandre.junio,1,Demanda disponível para homologação.,,11/2/2014
48-2014,CLOSED,sergio.correia.ms,,Verificado.,,11/2/2014
49-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,10/17/2014
49-2014,LANCAR_HORAS,Desenvolvedor SOA 1,40,Lançando horas da atividade.,,10/23/2014
49-2014,LANCAR_HORAS,Desenvolvedor SOA 2,40,Lançando horas da atividade.,,10/23/2014
49-2014,LANCAR_HORAS,Desenvolvedor SOA 3,40,Lançando horas da atividade.,,10/23/2014
49-2014,RESOLVED,Desenvolvedor SOA 4,40,Atividade concluída.,,10/23/2014
49-2014,LANCAR_HORAS,alexandre.junio,16,Demanda disponível para homologação.,,10/23/2014
49-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,10/23/2014
50-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,10/20/2014
50-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Demanda concluída.,,10/21/2014
50-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,10/21/2014
50-2014,CLOSED,sergio.correia.ms,,Verificado.,,10/21/2014
51-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,10/21/2014
51-2014,LANCAR_HORAS,Desenvolvedor SOA 1,40,Lançando horas da atividade.,,10/27/2014
51-2014,RESOLVED,Desenvolvedor SOA 2,40,Demanda concluída.,,10/27/2014
51-2014,LANCAR_HORAS,alexandre.junio,8,Demanda disponível para homologação.,,10/27/2014
51-2014,CLOSED,julioc.araujo.ms,,Homologação ok.,,10/27/2014
